,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Esteban Edul,8/31/2023,11/10/1984,40,Periodista Deportivo,San Cristóbal,Independiente,,,,,,,,,,,,,,,,,,,,,
,Flavio Azzaro *,9/5/2023,11/12/1985,39,Periodista Deportivo / Conductor,Avellaneda,Racing,,,,,,,,,,,,,,,,,,,,,
,Andrés Ducatenzeiler *,9/5/2023,1/27/1961,63,Dirigente Deportivo,Avellaneda,Independiente,,,,,,,,,,,,,,,,,,,,,
,Radagast,9/8/2023,9/15/1983,39,Mago / Comediante,Bahía Blanca,?,,,,,,,,,,,,,,,,,,,,,
,Fabricio Oberto,9/11/2023,3/21/1975,49,Exbasquetbolista,"Las Varillas, Córdoba",Boca Juniors,,,,,,,,,,,,,,,,,,,,,
,Sebastián Wainraich,9/12/2023,5/23/1974,50,Periodista,Villa Crespo,Atlanta,,,,,,,,,,,,,,,,,,,,,
,Mariano Zabaleta *,9/13/2023,2/28/1978,46,Ex Tenista,Tandil,Vélez,,,,,,,,,,,,,,,,,,,,,
,Juli Savioli,9/21/2023,1/24/2002,22,Influencer,Mar del Plata,River Plate,,,,,,,,,,,,,,,,,,,,,
,Facundo Sava,9/27/2023,3/7/1974,50,Exfutbolista / Director Técnico,Ituzaingó,Independiente,,,,,,,,,,,,,,,,,,,,,
,Miguel Simón,9/29/2023,7/23/1965,59,Relator / Periodista Deportivo,Caballito,Ferro Carril Oeste,,,,,,,,,,,,,,,,,,,,,
,Emiliano Brancciari,10/2/2023,10/28/1977,47,Músico,Munro,Boca Juniors,,,,,,,,,,,,,,,,,,,,,
,Franco Colapinto,10/3/2023,5/27/2003,21,Piloto de Automovilismo,Pilar,Boca Juniors,,,,,,,,,,,,,,,,,,,,,
,Chanchi Estévez,10/4/2023,6/2/1977,47,Exfutbolista,?,Huracán,,,,,,,,,,,,,,,,,,,,,
,Seleneitor,10/5/2023,12/13/1998,26,Influencer,?,River Plate,,,,,,,,,,,,,,,,,,,,,
,Iván Schargrodsky *,10/9/2023,3/17/1989,35,Periodista,Bahía Blanca,River Plate,,,,,,,,,,,,,,,,,,,,,
,Mauro Albarracín,10/10/2023,5/31/1997,27,Youtuber,Laferrere,Lanús,,,,,,,,,,,,,,,,,,,,,
,YSY A *,10/12/2023,7/12/1998,26,Músico,Caballito,?,,,,,,,,,,,,,,,,,,,,,
,Alfredo Casero,10/13/2023,11/12/1962,62,Actor / Comediante,Vicente López,Racing,,,,,,,,,,,,,,,,,,,,,
,Martín Kohan,10/23/2023,1/24/2967,57,Escritor,Almagro,Boca Juniors,,,,,,,,,,,,,,,,,,,,,
,Cristian Castro,10/24/2023,12/8/1974,49,Músico,"Ciudad de México, México",San Lorenzo / Boca,,,,,,,,,,,,,,,,,,,,,
,Nicki Nicole,10/25/2023,8/25/2000,24,Música,Rosario,Newell's Old Boys,,,,,,,,,,,,,,,,,,,,,
,Sebastián Porrini,10/27/2023,?,?,Docente / Escritor,?,?,,,,,,,,,,,,,,,,,,,,,
,Axel,11/8/2023,1/1/1977,47,Músico,Rafael Calzada,San Lorenzo,,,,,,,,,,,,,,,,,,,,,
,Campi,11/9/2023,2/10/1969,55,Comediante,Parque Patricios,Huracán,,,,,,,,,,,,,,,,,,,,,
,Donato de Santis,11/13/2023,3/5/1964,60,Cocinero,"Milán, Italia",Racing,,,,,,,,,,,,,,,,,,,,,
,Karina,11/14/2023,1/30/1986,38,Música,Vicente López,San Lorenzo,,,,,,,,,,,,,,,,,,,,,
,Emiliano Coroniti,11/17/2023,2/15/1983,41,Empresario,Almagro,River Plate,,,,,,,,,,,,,,,,,,,,,
,Julio Lamas,11/27/2023,6/9/1964,60,Entrenado Basquet,San Martín,San Lorenzo,,,,,,,,,,,,,,,,,,,,,
,Tuli Acosta,12/4/2023,6/20/2001,23,Influencer / Bailarina,"Rio Ceballos, Córdoba",?,,,,,,,,,,,,,,,,,,,,,
,Chapu Martínez,12/6/2023,5/3/1994,30,Influencer,?,Boca Juniors,,,,,,,,,,,,,,,,,,,,,
,Coker,12/11/2023,7/10/1997,27,Streamer,?,River Plate,,,,,,,,,,,,,,,,,,,,,
