Nombre                     ,Fecha      ,Nacimiento ,Edad ,Ocupación                       ,Lugar de Nacimiento         ,Pais      ,Hincha de
Chino Leunis               ,9/19/2022  ,9/9/1980   ,44   ,Conductor                       ,Ramos Mejía                 ,Argentina,Racing
Emmanuel Horvilleur        ,9/20/2022  ,1/2/1975   ,49   ,Músico                          ,Palermo                     ,Argentina,Vélez
Sebastián De Caro          ,9/27/2022  ,12/15/1975 ,49   ,Director de Cine                ,San Telmo                   ,Argentina,Boca Juniors
Delfina Pignatello         ,9/30/2022  ,4/19/2000  ,24   ,Exnadadora                      ,San Isidro                  ,Argentina,Independiente
Nati Carulias              ,10/3/2022  ,10/19/1975 ,49   ,Comediante                      ,Lugano                      ,Argentina,?
Leo Gabes                  ,10/4/2022  ,18/8/????  ,?    ,Periodista Deportivo            ,?                           ,Argentina,All Boys
Adrián Lacroix             ,10/5/2022  ,?          ,?    ,Mago                            ,?                           ,Argentina,?
Cae                        ,10/6/2022  ,10/20/1969 ,55   ,Músico                          ,Caballito                   ,Argentina,Independiente
Paulina Cocina             ,10/13/2022 ,7/22/1976  ,48   ,Cocinerx / Influencer           ,Quilmes                     ,Argentina,Independiente
José María Listorti        ,10/14/2022 ,3/4/1973   ,51   ,Comediante / Conductor          ,Turdera                     ,Argentina,River Plate
Juan Carlos Baglietto      ,10/18/2022 ,6/14/1955  ,69   ,Músico                          ,Rosario                     ,Argentina,Rosario Central
El Bananero                ,10/20/2022 ,9/12/1976  ,48   ,Comediante / Influencer         ,Nueva Jersey                ,EE.UU    ,Nacional
Sergio Massa               ,10/21/2022 ,4/28/1972  ,52   ,Político                        ,San Martín                  ,Argentina,Tigre
Roberto Moldavsky          ,10/26/2022 ,9/12/1962  ,62   ,Comediante / Escritor           ,Once                        ,Argentina,Boca Juniors
Mariano Llinás             ,10/27/2022 ,2/10/1975  ,49   ,Director de Cine                ,?                           ,Argentina,Boca Juniors
Pablo Giralt               ,10/28/2022 ,4/5/1974   ,50   ,Relator                         ,Venado Tuerto               ,Argentina,River Plate
Felipe Pigna               ,11/2/2022  ,5/29/1959  ,65   ,Historiador                     ,Mercedes                    ,Argentina,Independiente
Gastón Edul                ,11/3/2022  ,12/31/1994 ,30   ,Periodista Deportivo            ,San Cristóbal               ,Argentina,Independiente
José Chatruc               ,11/7/2022  ,11/9/1976  ,48   ,Exfutbolista                    ,Bolívar                     ,Argentina,Boca Juniors
Martín Garabal             ,11/10/2022 ,11/7/1983  ,41   ,Comediante / Actor              ,CABA                        ,Argentina,?
Fede Bareiro               ,11/11/2022 ,3/1/????   ,?    ,Periodista                      ,?                           ,Argentina,Vélez
Ruben Darío Insúa          ,11/16/2022 ,4/17/1961  ,63   ,Exfutbolista / Director Técnico ,Parque Chacabuco            ,Argentina,San Lorenzo
Luken                      ,11/17/2022 ,3/25/1997  ,25   ,Esports                         ,?                           ,Argentina,Boca Juniors
